"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Zach Ertz",3500,"Phi@NYG 01:00PM ET",6.000,"Phi"
"DST","Chiefs ",3500,"Jax@KC 01:00PM ET",10.429,"KC"
"WR","Kamar Aiken",3500,"Pit@Bal 01:00PM ET",3.957,"Bal"
"RB","Kapri Bibbs",3500,"Den@Oak 08:30PM ET",0.513,"Den"
"WR","Russell Shepard",3400,"Atl@TB 08:25PM ET",5.029,"TB"
"RB","Orleans Darkwa",3400,"Phi@NYG 01:00PM ET",4.383,"NYG"
"WR","Marqise Lee",3400,"Jax@KC 01:00PM ET",9.686,"Jax"
"WR","Tyreek Hill",3400,"Jax@KC 01:00PM ET",9.671,"KC"
"DST","Cowboys ",3400,"Dal@Cle 01:00PM ET",5.571,"Dal"
"TE","Coby Fleener",3400,"NO@SF 04:05PM ET",11.129,"NO"
"WR","Brian Quick",3400,"Car@LA 04:05PM ET",10.529,"LA"
"WR","Devin Funchess",3400,"Car@LA 04:05PM ET",5.571,"Car"
"DST","Panthers ",3400,"Car@LA 04:05PM ET",7.571,"Car"
"RB","Robert Turbin",3400,"Ind@GB 04:25PM ET",5.186,"Ind"
"RB","Derek Watt",3400,"Ten@SD 04:25PM ET",1.238,"SD"
"TE","Cameron Brate",3300,"Atl@TB 08:25PM ET",9.400,"TB"
"WR","Cordarrelle Patterson",3300,"Det@Min 01:00PM ET",7.700,"Min"
"WR","Breshad Perriman",3300,"Pit@Bal 01:00PM ET",4.643,"Bal"
"DST","Ravens ",3300,"Pit@Bal 01:00PM ET",8.857,"Bal"
"RB","Aaron Ripkowski",3300,"Ind@GB 04:25PM ET",1.400,"GB"
"WR","Jeff Janis",3300,"Ind@GB 04:25PM ET",2.757,"GB"
"TE","Hunter Henry",3300,"Ten@SD 04:25PM ET",9.125,"SD"
"RB","DeAndre Washington",3300,"Den@Oak 08:30PM ET",5.613,"Oak"
"RB","C.J. Prosise",3300,"Buf@Sea 08:30PM ET",6.700,"Sea"
"WR","Marquise Goodwin",3300,"Buf@Sea 08:30PM ET",8.400,"Buf"
"RB","Dwayne Washington",3200,"Det@Min 01:00PM ET",4.025,"Det"
"DST","Giants ",3200,"Phi@NYG 01:00PM ET",6.429,"NYG"
"RB","Chris Ivory",3200,"Jax@KC 01:00PM ET",5.400,"Jax"
"TE","Julius Thomas",3200,"Jax@KC 01:00PM ET",9.900,"Jax"
"WR","Andrew Hawkins",3200,"Dal@Cle 01:00PM ET",7.800,"Cle"
"WR","Markus Wheaton",3200,"Pit@Bal 01:00PM ET",5.700,"Pit"
"WR","Eli Rogers",3200,"Pit@Bal 01:00PM ET",8.125,"Pit"
"RB","Fozzy Whittaker",3200,"Car@LA 04:05PM ET",8.471,"Car"
"WR","Adam Humphries",3100,"Atl@TB 08:25PM ET",8.629,"TB"
"TE","Eric Ebron",3100,"Det@Min 01:00PM ET",11.980,"Det"
"WR","Nelson Agholor",3100,"Phi@NYG 01:00PM ET",7.014,"Phi"
"DST","Eagles ",3100,"Phi@NYG 01:00PM ET",12.143,"Phi"
"RB","Damien Williams",3100,"NYJ@Mia 01:00PM ET",7.517,"Mia"
"DST","Dolphins ",3100,"NYJ@Mia 01:00PM ET",6.000,"Mia"
"WR","Chris Conley",3100,"Jax@KC 01:00PM ET",7.371,"KC"
"WR","Corey Brown",3100,"Car@LA 04:05PM ET",5.857,"Car"
"RB","Knile Davis",3100,"Ind@GB 04:25PM ET",1.017,"GB"
"RB","Don Jackson",3100,"Ind@GB 04:25PM ET",0.800,"GB"
"WR","Dontrelle Inman",3100,"Ten@SD 04:25PM ET",7.613,"SD"
"WR","Jermaine Kearse",3100,"Buf@Sea 08:30PM ET",6.643,"Sea"
"RB","Antone Smith",3000,"Atl@TB 08:25PM ET",5.100,"TB"
"RB","Stevan Ridley",3000,"Atl@TB 08:25PM ET",0,"Atl"
"RB","Patrick DiMarco",3000,"Atl@TB 08:25PM ET",1.188,"Atl"
"RB","Terron Ward",3000,"Atl@TB 08:25PM ET",6.700,"Atl"
"RB","Peyton Barber",3000,"Atl@TB 08:25PM ET",2.517,"TB"
"WR","Eric Weems",3000,"Atl@TB 08:25PM ET",0.000,"Atl"
"WR","Aldrick Robinson",3000,"Atl@TB 08:25PM ET",2.863,"Atl"
"WR","Justin Hardy",3000,"Atl@TB 08:25PM ET",3.788,"Atl"
"WR","Cecil Shorts III",3000,"Atl@TB 08:25PM ET",0.550,"TB"
"WR","Freddie Martino",3000,"Atl@TB 08:25PM ET",0.000,"TB"
"WR","Taylor Gabriel",3000,"Atl@TB 08:25PM ET",5.750,"Atl"
"RB","Justin Forsett",3000,"Det@Min 01:00PM ET",6.340,"Det"
"RB","Zach Line",3000,"Det@Min 01:00PM ET",0.114,"Min"
"RB","Ronnie Hillman",3000,"Det@Min 01:00PM ET",2.500,"Min"
"RB","Michael Burton",3000,"Det@Min 01:00PM ET",0.000,"Det"
"RB","Zach Zenner",3000,"Det@Min 01:00PM ET",4.983,"Det"
"WR","Andre Roberts",3000,"Det@Min 01:00PM ET",2.738,"Det"
"WR","Charles Johnson",3000,"Det@Min 01:00PM ET",2.171,"Min"
"WR","Jarius Wright",3000,"Det@Min 01:00PM ET",3.600,"Min"
"WR","Laquon Treadwell",3000,"Det@Min 01:00PM ET",0.000,"Min"
"RB","Bobby Rainey",3000,"Phi@NYG 01:00PM ET",6.017,"NYG"
"RB","Kenjon Barner",3000,"Phi@NYG 01:00PM ET",2.514,"Phi"
"RB","Paul Perkins",3000,"Phi@NYG 01:00PM ET",4.080,"NYG"
"WR","Dwayne Harris",3000,"Phi@NYG 01:00PM ET",-0.143,"NYG"
"WR","Tavarres King",3000,"Phi@NYG 01:00PM ET",0.000,"NYG"
"WR","Josh Huff",3000,"Phi@NYG 01:00PM ET",4.743,"Phi"
"WR","Dorial Green-Beckham",3000,"Phi@NYG 01:00PM ET",6.200,"Phi"
"WR","Bryce Treggs",3000,"Phi@NYG 01:00PM ET",0,"Phi"
"WR","Roger Lewis",3000,"Phi@NYG 01:00PM ET",2.775,"NYG"
"RB","Kenyan Drake",3000,"NYJ@Mia 01:00PM ET",3.157,"Mia"
"RB","Troymaine Pope",3000,"NYJ@Mia 01:00PM ET",0.100,"NYJ"
"WR","Charone Peake",3000,"NYJ@Mia 01:00PM ET",3.375,"NYJ"
